customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCalls,AvgMonthlyGB,Age,Churn
CUST_00001,Male,0,Yes,Yes,31,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,61.54,1796.66,1,100.6,52,No
CUST_00002,Male,0,No,Yes,22,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.48,1058.0,1,37.2,49,Yes
CUST_00003,Female,0,No,No,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),50.94,1077.94,2,0.0,19,Yes
CUST_00004,Male,0,No,Yes,5,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),128.99,684.36,0,46.8,33,Yes
CUST_00005,Male,0,Yes,No,2,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,88.69,117.2,0,34.2,35,Yes
CUST_00006,Female,1,No,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),59.26,98.2,2,0.0,72,Yes
CUST_00007,Female,0,Yes,Yes,83,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,69.92,5825.35,1,10.9,25,No
CUST_00008,Female,0,Yes,No,1,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),39.77,39.77,2,16.5,58,Yes
CUST_00009,Male,0,No,Yes,38,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,68.36,2530.02,0,84.5,28,No
CUST_00010,Male,0,No,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,87.36,2608.89,0,0.0,54,Yes
CUST_00011,Female,0,Yes,No,47,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,57.27,2540.86,0,18.6,32,Yes
CUST_00012,Male,0,Yes,No,9,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),85.31,903.44,2,62.5,61,Yes
CUST_00013,Female,0,No,Yes,35,No,No phone service,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,103.45,3958.01,1,5.7,50,Yes
CUST_00014,Male,0,Yes,Yes,1,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,29.53,133.78,2,26.4,31,Yes
CUST_00015,Male,0,No,Yes,1,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),83.59,83.59,5,111.5,33,Yes
CUST_00016,Female,0,Yes,Yes,18,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,47.45,821.31,1,85.2,37,Yes
CUST_00017,Male,0,Yes,No,6,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,73.64,407.56,3,22.6,18,Yes
CUST_00018,Female,0,No,Yes,85,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,17.03,1444.96,1,0.0,32,No
CUST_00019,Female,0,No,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,126.58,174.36,1,0.0,45,Yes
CUST_00020,Female,0,No,No,16,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),93.57,1572.32,2,50.0,41,No
CUST_00021,Male,0,No,Yes,2,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),119.76,190.18,1,44.7,53,Yes
CUST_00022,Male,0,Yes,No,27,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),65.23,1724.62,2,58.7,58,No
CUST_00023,Male,0,No,Yes,3,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),60.98,104.6,4,40.5,54,No
CUST_00024,Male,0,Yes,No,18,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,56.89,1003.39,4,64.7,40,Yes
CUST_00025,Female,0,No,Yes,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),95.43,220.16,0,0.0,54,Yes
CUST_00026,Male,0,Yes,No,4,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,111.64,493.96,2,13.5,34,Yes
CUST_00027,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,44.48,1154.52,1,0.0,62,No
CUST_00028,Male,0,No,Yes,11,No,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),42.76,388.8,5,43.0,59,No
CUST_00029,Female,0,Yes,Yes,30,No,No phone service,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,64.14,1817.01,4,131.8,23,No
CUST_00030,Female,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,53.69,775.65,2,0.0,52,Yes
CUST_00031,Female,0,Yes,Yes,66,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Mailed check,33.86,2297.54,0,47.7,48,No
CUST_00032,Male,1,Yes,No,110,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,66.46,7195.78,4,0.0,71,No
CUST_00033,Male,0,No,No,39,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),49.9,1997.7,5,23.5,58,No
CUST_00034,Female,1,Yes,Yes,2,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,52.87,113.92,2,44.7,80,Yes
CUST_00035,Female,0,No,No,3,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),92.22,432.71,1,4.5,37,Yes
CUST_00036,Female,0,No,Yes,1,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),124.73,309.07,4,79.3,46,Yes
